Type,Dir,Sx,X1,X2,Y2,X3,Y3,BT,UEB,KH,B1,BH,Rr,CE,Notes
s,T,-15.000000,82.66667,150,67.33332,150,150,2100,0.0,200,2100,200,150,0.000000,
s,T,-14.500000,82.66667,150,67.33332,150,150,1975,0.0,275,1975,275,150,0.000000,
s,T,-14.000000,82.66667,150,67.33332,150,150,1850,0.0,350,1850,350,150,0.000000,
s,T,-13.500000,82.66667,150,67.33332,150,150,1725,0.0,425,1725,425,150,0.000000,
s,T,-13.000000,82.66667,150,67.33332,150,150,1600,0.0,500,1600,500,150,0.000000,
s,T,-12.500000,82.66667,150,67.33332,150,150,1475,0.0,500.0,1475,500,150,0.000000,
s,T,-12.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-11.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-11.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-10.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-10.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-9.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-9.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-8.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-8.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-7.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-7.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-6.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-6.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-5.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-5.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-4.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-4.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,-3.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
