Type,Dir,Sx,Az,A,B,AT,BT,H1,MY,MN,R1,INCL,HZ,WZ,H2,R2,KH,UEB,B1,AK1,BW1,AK3,HW2,BHS,BW,BGES,CE,DFA,R1x,R1y,R2x,R2y,Offset,WR2,BRK
s,T,-15.000000,50.700100,0.000000,2250.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,25.000000,10000.000000,150.000000,0.000000,2125.000000,125.000000,0.000000,125.000000,25.000000,475.000000,2250.000000,4500.000000,0.000000,0.000000,2125.000000,125.000000,-7750.000000,125.000000,86.000000,0.000000,0
s,T,-14.500000,50.700100,0.000000,2125.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,100.000000,10000.000000,225.000000,0.000000,2000.000000,125.000000,0.000000,125.000000,100.000000,475.000000,2125.000000,4250.000000,0.000000,0.000000,2000.000000,125.000000,-7875.000000,125.000000,86.000000,0.000000,0
s,T,-14.000000,50.700100,0.000000,2000.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,175.000000,10000.000000,300.000000,0.000000,1875.000000,125.000000,0.000000,125.000000,175.000000,475.000000,2000.000000,4000.000000,0.000000,0.000000,1875.000000,125.000000,-8000.000000,125.000000,86.000000,0.000000,0
s,T,-13.500000,50.700100,0.000000,1875.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,250.000000,10000.000000,375.000000,0.000000,1750.000000,125.000000,0.000000,125.000000,250.000000,475.000000,1875.000000,3750.000000,0.000000,0.000000,1750.000000,125.000000,-8125.000000,125.000000,86.000000,0.000000,0
s,T,-13.000000,50.700100,0.000000,1750.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,325.000000,10000.000000,450.000000,0.000000,1625.000000,125.000000,0.000000,125.000000,325.000000,475.000000,1750.000000,3500.000000,0.000000,0.000000,1625.000000,125.000000,-8250.000000,125.000000,86.000000,0.000000,0
s,T,-12.500000,50.700100,0.000000,1625.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,400.000000,10000.000000,525.000000,0.000000,1500.000000,125.000000,0.000000,125.000000,400.000000,475.000000,1625.000000,3250.000000,0.000000,0.000000,1500.000000,125.000000,-8375.000000,125.000000,86.000000,0.000000,0
s,T,-12.000000,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,1
s,T,-11.500000,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,0
s,T,-11.000000,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,0
s,T,-10.500000,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,0
s,T,-10.000000,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,0
s,T,-9.500000,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,0
s,T,-9.000000,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,0
s,T,-8.500000,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,0
s,T,-8.000000,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,0
s,T,-7.500000,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,0
s,T,-7.000000,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,0
s,T,-6.500000,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,0
s,T,-6.000000,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,0
